date,social,entertainment,information,productivity,travel,creativity
Monday,133,62,58,25,5,20
Tuesday,121,48,20,6,0.18,0.05
Wednesday,37,17,16,4,0,6
Thursday,61,28,3,26,47,26
Friday,111,22,26,4,9,0.2
Saturday,82,0,1,10,37,19
Sunday,51,83,20,5,99,73
,,,,,,
,,,,,,
,,,,,,
